### Wubi86 table
### This file must be encoded into UTF-8.
### 
### Changelog
### Yu Yuwei <acevery@gmail.com>
###     - add freqs from google.
###     - fix punctuation freqs
### Chen Xing <cxcxcxcx@gmail.com>
###     - convert from JindianWubi table
###

### Begin Table definition.
BEGIN_DEFINITION
### Original table author
AUTHOR = Wozi <wozy-in@gmail.com>

### An unique id to distinguish this table among others.
### Use uuidgen to generate this kind of id.
UUID = 3a69fa44-b978-4281-816f-2339ea462c26

### A unique number indicates the version of this file.
### For example the last modified date of this file.
### This number must be less than 2^32.
SERIAL_NUMBER = 20081026

ICON = wubi86.svg

### The default name of this table
NAME = WuBi86

### The local names of this table 
NAME.zh_CN = 五笔86
NAME.zh_TW = 五筆86
NAME.zh_HK = 五筆86

### Supported languages of this table
LANGUAGES = zh_CN,zh_SG,zh_TW,zh_HK

### Prompt string to be displayed in the status area.
STATUS_PROMPT = CN

### Use full width punctuation by default
DEF_FULL_WIDTH_PUNCT = TRUE

### Use full width letter by default
DEF_FULL_WIDTH_LETTER = FALSE

### The maxmium length of a key.
MAX_KEY_LENGTH = 4

### Valid input chars.
VALID_INPUT_CHARS = abcdefghijklmnopqrstuvwxyz

### Whether user are allow to define their own phrase, default is true
USER_CAN_DEFINE_PHRASE = TRUE 

### Whether support PinYin Mode, default is true
PINYIN_MODE = TRUE

### If true then the phrases' frequencies will be adjusted dynamically.
DYNAMIC_ADJUST = TRUE 

### Rules for user define phrase construct:
RULES = ce2:p11+p12+p21+p22;ce3:p11+p21+p31+p32;ca4:p11+p21+p31+p-11

END_DEFINITION


### Begin Table data.
BEGIN_TABLE
a	工	551000000
a	戈	29700000
b	了	1690000000
b	子	501000000
c	以	884000000
c	又	729000000
d	在	2700000000
d	石	189000000
e	月	2250000000
e	有	2310000000
f	土	320000000
f	地	853000000
g	一	2830000000
g	王	827000000
h	上	4250000000
h	目	324000000
i	不	2140000000
i	水	752000000
j	日	2380000000
j	是	2210000000
k	中	2720000000
k	口	279000000
l	国	526000000
l	田	87400000
m	同	804000000
m	山	320000000
n	已	889000000
n	民	154000000
o	为	2930000000
o	火	387000000
p	之	1580000000
p	这	1090000000
q	我	2310000000
q	金	837000000
r	白	355000000
r	的	4220000000
s	木	422000000
s	要	1520000000
t	和	1790000000
t	禾	19900000
u	产	128000000
u	立	229000000
v	发	1140000000
v	女	1120000000
w	人	2390000000
w	八	440000000
x	弓	26400000
x	经	423000000
y	主	955000000
y	言	287000000
aa	式	429000000
aa	戒	34500000
ab	节	461000000
ab	蒸	25400000
ac	芭	27700000
ac	茅	21200000
ad	基	142000000
ae	菜	122000000
af	革	27300000
ag	七	406000000
ah	牙	69700000
ai	东	291000000
aj	划	178000000
ak	惑	32500000
ak	或	1250000000
al	功	85800000
am	贡	8460000
an	世	171000000
ao	蒌	407000
ao	薮	1130000
ap	芝	45100000
ap	营	95000000
aq	区	1730000000
aq	获	150000000
ar	匠	10800000
ar	芹	5500000
as	苛	4020000
as	蘸	4250000
at	医	63300000
at	攻	49300000
au	燕	64400000
au	蒋	30200000
av	切	96100000
av	萧	53300000
aw	共	382000000
aw	花	598000000
ax	药	267000000
ax	蕴	9310000
ay	芳	55400000
ay	荒	20200000
ba	陈	403000000
bb	子	501000000
bc	取	423000000
bd	承	58300000
be	阴	50400000
bf	际	78800000
bg	卫	99100000
bh	耻	19200000
bi	孙	82600000
bj	阳	102000000
bk	职	93200000
bl	阵	53900000
bm	出	1860000000
bn	也	982000000
bo	耿	6740000
bp	辽	58100000
bp	院	446000000
bq	聊	84900000
bq	隐	48300000
br	孤	56200000
br	阪	8000000
bs	耵	165000
bs	阿	319000000
bt	降	232000000
bt	隆	59400000
bu	联	265000000
bu	陪	138000000
bv	限	317000000
bw	队	161000000
bw	除	184000000
bx	陛	2510000
by	孩	67200000
by	防	195000000
ca	戏	46800000
cb	邓	34600000
cc	双	288000000
cd	参	60400000
ce	能	1820000000
cf	对	1200000000
cg	骊	5420000
cj	骒	67800
ck	台	486000000
cl	劝	23600000
cm	观	94800000
cn	马	236000000
cp	驼	3220000
cq	允	16900000
cr	牟	9780000
cs	骠	1140000
ct	矣	26900000
cu	骈	585000
cv	艰	7620000
cw	难	256000000
cy	驻	93800000
da	左	186000000
db	顾	41900000
dc	友	850000000
dd	大	1790000000
de	胡	103000000
df	夺	81100000
dg	三	2230000000
dh	丰	92400000
di	砂	38300000
dj	百	660000000
dk	右	174000000
dl	历	40400000
dm	面	905000000
dn	成	723000000
do	灰	91600000
dp	达	393000000
dq	克	225000000
dr	原	660000000
ds	厅	162000000
dt	帮	227000000
du	磁	43900000
dv	肆	7490000
dw	春	150000000
dx	龙	403000000
dy	太	909000000
ea	肛	7360000
eb	乳	68500000
eb	服	733000000
ec	肥	82500000
ec	胎	22800000
ed	腌	4100000
ed	须	76400000
ee	朋	30300000
ee	貌	16800000
ef	肝	46300000
eg	且	150000000
eh	胩	105000
ei	膛	2000000
ej	胆	27500000
ek	肿	17500000
el	肋	8820000
em	肌	54700000
en	甩	31200000
eo	膦	891000
ep	爱	555000000
eq	胸	103000000
er	遥	21100000
es	采	128000000
et	用	1490000000
eu	胶	56800000
ev	妥	19300000
ew	脸	233000000
ex	脂	27000000
ey	及	998000000
fa	载	90200000
fb	地	853000000
fc	支	230000000
fd	城	464000000
fe	圾	62800000
ff	寺	49200000
fg	二	1180000000
fh	直	170000000
fi	示	89700000
fj	进	719000000
fk	吉	91000000
fl	协	71800000
fm	南	475000000
fn	志	122000000
fo	赤	79800000
fp	过	744000000
fq	无	339000000
fr	垢	10100000
fs	霜	34500000
ft	才	585000000
fu	增	288000000
fv	雪	238000000
fw	夫	92500000
fx	坳	1480000
fy	坟	7250000
ga	开	486000000
gb	屯	30300000
gc	到	2060000000
gd	天	1610000000
ge	表	1050000000
gf	于	957000000
gg	五	796000000
gh	下	3260000000
gi	不	2140000000
gj	理	137000000
gk	事	590000000
gl	画	135000000
gm	现	275000000
gn	与	1300000000
go	来	2460000000
gp	琮	1550000
gq	列	952000000
gr	珠	83800000
gs	末	121000000
gt	玫	15600000
gu	平	170000000
gv	妻	57200000
gw	珍	37100000
gx	互	96000000
gy	玉	123000000
ha	虎	106000000
hc	皮	132000000
hd	睚	192000
he	肯	95100000
hf	睦	5780000
hg	睛	5560000
hh	止	71700000
hi	步	245000000
hj	旧	167000000
hk	占	174000000
hl	卤	4200000
hm	贞	15400000
hn	卢	32200000
ho	眯	9380000
hp	瞎	29100000
hq	餐	84500000
hr	睥	424000
hs	盯	61100000
ht	睡	128000000
hu	瞳	26500000
hv	眼	200000000
hw	具	179000000
hx	此	1400000000
hy	眩	10200000
ia	江	105000000
ib	池	55400000
ic	汉	131000000
id	尖	55900000
ie	肖	34400000
if	法	524000000
ig	汪	31300000
ih	小	1470000000
ii	水	752000000
ij	浊	6280000
ik	澡	11800000
il	渐	26800000
im	没	441000000
in	沁	14900000
io	淡	73000000
ip	学	406000000
iq	光	640000000
ir	泊	34600000
is	洒	22200000
it	少	389000000
iu	洋	76300000
iv	当	810000000
iw	兴	90200000
ix	涨	71100000
iy	注	236000000
ja	虹	79400000
jb	最	1270000000
jc	紧	125000000
jd	晨	65100000
je	明	351000000
jf	时	850000000
jg	量	723000000
jh	早	279000000
ji	晃	24300000
jj	昌	44600000
jk	蝇	2970000
jl	曙	7410000
jm	遇	210000000
jn	电	606000000
jo	显	123000000
jp	晕	94900000
jq	晚	194000000
jr	蝗	4230000
js	果	104000000
jt	昨	72600000
ju	暗	96500000
jv	归	244000000
jw	蛤	3610000
jx	昆	17300000
jy	景	99400000
ka	呀	395000000
kb	啊	464000000
kc	吧	645000000
kd	顺	90200000
ke	吸	57600000
kf	叶	158000000
kg	呈	47800000
kh	中	2720000000
ki	吵	23200000
kj	虽	60200000
kk	吕	26000000
kl	另	312000000
km	员	386000000
kn	叫	445000000
ko	噗	8260000
kp	喧	4330000
kq	史	145000000
kr	听	664000000
ks	呆	71700000
kt	呼	73000000
ku	啼	8170000
kv	哪	215000000
kw	只	776000000
kx	哟	124000000
ky	嘛	122000000
la	轼	3420000
lb	囝	1650000
lc	轻	170000000
ld	因	301000000
le	胃	30000000
lf	轩	48400000
lg	车	844000000
lh	四	917000000
lj	辊	3780000
lk	加	911000000
ll	男	516000000
lm	轴	24000000
lm	辋	244000
ln	思	179000000
ln	轧	9560000
lo	辚	212000
lp	边	201000000
lp	连	423000000
lq	罗	175000000
lq	软	97500000
lr	斩	18700000
lr	暂	298000000
ls	困	36100000
ls	町	148000000
lt	力	726000000
lt	图	941000000
lu	圈	165000000
lu	较	241000000
lv	轨	10700000
lw	办	418000000
lx	累	84500000
ly	罚	43000000
ma	曲	196000000
mb	邮	95100000
mc	凤	41700000
md	央	42100000
md	岸	39000000
me	骨	73400000
mf	财	67000000
mg	同	804000000
mg	贱	16200000
mh	由	889000000
mh	贝	81800000
mi	峭	1790000
mj	则	493000000
mk	迥	7980000
ml	崭	1290000
mm	册	60300000
mm	凹	13500000
mn	岂	25100000
mo	赕	99600
mp	迪	138000000
mq	风	312000000
mr	贩	5850000
ms	朵	46700000
mt	几	959000000
mu	赠	62800000
mw	内	961000000
mx	嶷	776000
my	凡	98400000
na	民	154000000
nb	敢	245000000
nc	怪	112000000
nd	居	155000000
nf	导	93100000
ng	怀	63100000
nh	收	459000000
ni	悄	6600000
nj	慢	90600000
nk	避	72000000
nl	惭	1420000
nm	届	249000000
nn	忆	21000000
no	屡	13700000
np	忱	1400000
nq	懈	2140000
nr	怕	257000000
ns	怵	1350000
nt	必	276000000
nu	习	12900000
nv	恨	43400000
nw	愉	5710000
nx	尼	166000000
ny	心	610000000
oa	煤	43400000
ob	籽	12100000
oc	烃	2920000
od	类	534000000
oe	粗	99400000
of	灶	12500000
og	业	284000000
oh	粘	60400000
oi	炒	41000000
oj	烛	11100000
ok	炽	4450000
ol	烟	96800000
om	灿	6520000
on	断	96400000
oo	炎	78100000
op	迷	119000000
oq	炮	28200000
or	煌	7650000
os	灯	145000000
ot	烽	5800000
ou	料	286000000
ov	娄	4900000
ow	粉	142000000
ox	糨	84100
oy	米	315000000
pa	宽	192000000
pb	字	693000000
pd	害	58500000
pe	家	1100000000
pf	守	67500000
pg	定	309000000
ph	寂	8470000
pi	宵	9310000
pj	审	51700000
pk	宫	99700000
pl	军	142000000
pm	宙	8240000
